,,Neutral,,,,,Rotation up,,,,,Rotation down,,,,
,x [mm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm],V_z [kN],V_y[kN],M_z [kNm],M_y [kNm],T [kNm]
3,1365,82.68638442,-15.98173127,6.726718101,24.93626569,10.47070262,132.0459308,21.88304025,-71.63551892,25.36136627,9.411005171,16.59012926,-50.61161008,83.72738728,19.46376801,9.411005171
4,1393,82.68638442,-16.10857127,9.041936865,24.48700146,10.46762675,132.1015338,21.76903721,-67.93745441,25.97249535,9.408240597,16.53452626,-50.72561311,84.19113245,18.04504689,9.408240597
5,1421,82.68638442,-16.23541127,11.35715563,24.0341857,10.46455088,132.1571368,21.65503417,-64.23783302,26.58043235,9.405476024,16.47892327,-50.83961615,84.65332075,16.62313368,9.405476024
,1421,-9.013615578,-16.23541127,11.35715563,24.0341857,0.148300875,49.73772274,-18.54359999,-64.23783302,26.58043235,0.133291944,-65.94049078,-10.64098199,84.65332075,16.62313368,0.133291944
1,1547,-9.013615578,-16.80619127,10.22144007,21.95256474,0.13445946,49.98793623,-19.05661365,-57.95511651,24.21161889,0.120851362,-66.19070426,-11.15399566,76.32905546,15.25005009,0.120851362
2,1673,-9.013615578,-17.37697127,9.085724503,19.7990255,0.120618045,50.23814971,-19.56962732,-51.64087309,21.77816571,0.108410781,-66.44091774,-11.66700932,67.97326327,13.81232677,0.108410781
3,1799,-9.013615578,-17.94775127,7.95000894,17.57356798,0.10677663,50.48836319,-20.08264098,-45.29510278,19.28007281,0.095970199,-66.69113123,-12.18002299,59.58594419,12.30996374,0.095970199
4,1925,-9.013615578,-18.51853127,6.814293377,15.27619218,0.092935215,50.73857668,-20.59565465,-38.91780557,16.71734018,0.083529618,-66.94134471,-12.69303665,51.1670982,10.74296098,0.083529618
5,2051,-9.013615578,-19.08931127,5.678577814,12.9068981,0.0790938,50.98879016,-21.10866832,-32.50898146,14.08996784,0.071089037,-67.19155819,-13.20605032,42.71672532,9.1113185,0.071089037
6,2177,-9.013615578,-19.66009127,4.542862251,10.46568574,0.065252385,51.23900364,-21.62168198,-26.06863045,11.39795577,0.058648455,-67.44177168,-13.71906399,34.23482554,7.415036299,0.058648455
7,2303,-9.013615578,-20.23087127,3.407146689,7.9525551,0.05141097,51.48921712,-22.13469565,-19.59675254,8.641303978,0.046207874,-67.69198516,-14.23207765,25.72139886,5.654114376,0.046207874
8,2429,-9.013615578,-20.80165127,2.271431126,5.36750618,0.037569555,51.73943061,-22.64770931,-13.09334773,5.820012465,0.033767292,-67.94219864,-14.74509132,17.17644528,3.828552731,0.033767292
9,2555,-9.013615578,-21.37243127,1.135715563,2.71053898,0.02372814,51.98964409,-23.16072298,-6.558416029,2.934081231,0.021326711,-68.19241213,-15.25810498,8.599964801,1.938351364,0.021326711
10,2681,-9.013615578,-21.94321127,0,-0.0183465,0.009886725,52.23985757,-23.67373664,0.008042576,-0.016489725,0.00888613,-68.44262561,-15.77111865,-0.008042576,-0.016489725,0.00888613
,2681,0,0.4077,0,-0.0183465,0.009886725,-0.178723917,0.366438333,0.008042576,-0.016489725,0.00888613,0.178723917,0.366438333,-0.008042576,-0.016489725,0.00888613
1,2699,0,0.32616,4.60743E-15,-0.01174176,0.00790938,-0.142979133,0.293150666,0.005147249,-0.010553424,0.007108904,0.142979133,0.293150666,-0.005147249,-0.010553424,0.007108904
2,2717,0,0.24462,2.34257E-14,-0.00660474,0.005932035,-0.10723435,0.219863,0.002895327,-0.005936301,0.005331678,0.10723435,0.219863,-0.002895327,-0.005936301,0.005331678
3,2735,0,0.16308,0,-0.00293544,0.00395469,-0.071489567,0.146575333,0.001286812,-0.002638356,0.003554452,0.071489567,0.146575333,-0.001286812,-0.002638356,0.003554452
4,2753,0,0.08154,4.21885E-15,-0.00073386,0.001977345,-0.035744783,0.073287667,0.000321703,-0.000659589,0.001777226,0.035744783,0.073287667,-0.000321703,-0.000659589,0.001777226
5,2771,0,0,-5.44009E-15,-3.9968E-15,0,0,0,0,-2.04281E-14,0,0,0,2.04281E-14,-4.21885E-15,0
